% ID         RA         Dec       Ebv      Gal Long  Gal Lat    Ecl Long  Ecl Lat
000262     62.75000  -23.63077    0.05     220.0589  -45.0784    54.4875  -43.7682
000263     70.25000  -23.63077    0.04     222.6103  -38.4757    63.8901  -45.2960
000264     77.75000  -23.63077    0.04     225.1394  -31.9227    73.6351  -46.3766
000265     85.25000  -23.63077    0.03     227.7104  -25.4324    83.6175  -46.9649
000266     92.75000  -23.63077    0.05     230.3765  -19.0199    93.6977  -47.0348
000267    100.25000  -23.63077    0.10     233.1869  -12.7031   103.7209  -46.5830
000268    107.75000  -23.63077    0.19     236.1916   -6.5036   113.5411  -45.6300
000269    115.25000  -23.63077    0.52     239.4446   -0.4482   123.0429  -44.2162
000270    122.75000  -23.63077    0.17     243.0061    5.4299   132.1529  -42.3966
000271    130.25000  -23.63077    0.10     246.9444   11.0889   140.8401  -40.2335
000272    137.75000  -23.63077    0.14     251.3364   16.4762   149.1095  -37.7915
000273    145.25000  -23.63077    0.05     256.2656   21.5260   156.9909  -35.1335
000274    152.75000  -23.63077    0.06     261.8173   26.1564   164.5296  -32.3184
000275    160.25000  -23.63077    0.05     268.0663   30.2685   171.7781  -29.4003
000276    167.75000  -23.63077    0.10     275.0565   33.7473   178.7906  -26.4289
000277    175.25000  -23.63077    0.05     282.7717   36.4682   185.6199  -23.4496
000278    182.75000  -23.63077    0.10     291.1057   38.3106   192.3150  -20.5045
000279    190.25000  -23.63077    0.07     299.8475   39.1785   198.9201  -17.6329
000280    197.75000  -23.63077    0.12     308.7017   39.0217   205.4744  -14.8723
000281    205.25000  -23.63077    0.08     317.3476   37.8497   212.0110  -12.2579
000282    212.75000  -23.63077    0.09     325.5110   35.7283   218.5576   -9.8239
000283    220.25000  -23.63077    0.10     333.0123   32.7636   225.1353   -7.6027
000284    227.75000  -23.63077    0.12     339.7754   29.0793   231.7592   -5.6247
000285    235.25000  -23.63077    0.22     345.8057   24.7981   238.4377   -3.9185
000286    242.75000  -23.63077    0.18     351.1594   20.0304   245.1728   -2.5096
000287    250.25000  -23.63077    0.39     355.9161   14.8701   251.9603   -1.4199
000288    257.75000  -23.63077    0.35       0.1615    9.3939   258.7904   -0.6669
000289    265.25000  -23.63077    0.67       3.9775    3.6632   265.6491   -0.2632
000290    272.75000  -23.63077    1.71       7.4384   -2.2728   272.5193   -0.2155
000291    280.25000  -23.63077    0.23      10.6098   -8.3752   279.3828   -0.5247
000292    287.75000  -23.63077    0.14      13.5499  -14.6130   286.2220   -1.1855
000293    295.25000  -23.63077    0.12      16.3112  -20.9610   293.0220   -2.1870
000294    302.75000  -23.63077    0.13      18.9431  -27.3989   299.7717   -3.5128
000295    310.25000  -23.63077    0.05      21.4954  -33.9097   306.4654   -5.1421
000296    317.75000  -23.63077    0.06      24.0237  -40.4792   313.1033   -7.0502
000297    325.25000  -23.63077    0.05      26.5981  -47.0944   319.6922   -9.2095
000298    332.75000  -23.63077    0.04      29.3213  -53.7434   326.2452  -11.5899
000299    340.25000  -23.63077    0.02      32.3693  -60.4130   332.7821  -14.1594
000300    347.75000  -23.63077    0.02      36.1013  -67.0852   339.3286  -16.8844
000301    355.25000  -23.63077    0.02      41.4334  -73.7255   345.9165  -19.7299
000302      2.60000  -16.70769    0.03      78.4811  -75.9013   355.5481  -16.3228
000303      9.80000  -16.70769    0.02     107.0984  -79.2013     2.1368  -19.1846
000304     17.00000  -16.70769    0.02     143.9769  -78.8968     8.8471  -22.0339
000305     24.20000  -16.70769    0.02     170.4708  -75.2091    15.7183  -24.8308
000306     31.40000  -16.70769    0.03     185.4814  -69.9286    22.7897  -27.5332
000307     38.60000  -16.70769    0.03     194.6358  -64.0167    30.0983  -30.0963
000308     45.80000  -16.70769    0.04     200.9363  -57.8296    37.6756  -32.4727
000309     53.00000  -16.70769    0.07     205.7315  -51.5115    45.5432  -34.6132
000310     60.20000  -16.70769    0.04     209.6746  -45.1310    53.7086  -36.4678
000311     67.40000  -16.70769    0.04     213.1156  -38.7262    62.1594  -37.9879
000312     74.60000  -16.70769    0.08     216.2617  -32.3222    70.8598  -39.1292
000313     81.80000  -16.70769    0.07     219.2477  -25.9378    79.7494  -39.8556
000314     89.00000  -16.70769    0.11     222.1701  -19.5895    88.7470  -40.1426
000315     96.20000  -16.70769    0.18     225.1050  -13.2938    97.7582  -39.9802
000316    103.40000  -16.70769    0.48     228.1191   -7.0681   106.6867  -39.3739
000317    110.60000  -16.70769    1.12     231.2762   -0.9329   115.4467  -38.3446
000318    117.80000  -16.70769    0.13     234.6424    5.0875   123.9715  -36.9256
000319    125.00000  -16.70769    0.08     238.2899   10.9626   132.2183  -35.1592
000320    132.20000  -16.70769    0.07     242.3010   16.6541   140.1687  -33.0931
000321    139.40000  -16.70769    0.05     246.7700   22.1128   147.8250  -30.7772
000322    146.60000  -16.70769    0.06     251.8049   27.2752   155.2054  -28.2611
000323    153.80000  -16.70769    0.06     257.5235   32.0598   162.3391  -25.5928
000324    161.00000  -16.70769    0.04     264.0435   36.3634   169.2621  -22.8178
000325    168.20000  -16.70769    0.09     271.4578   40.0599   176.0131  -19.9790
000326    175.40000  -16.70769    0.04     279.7937   43.0044   182.6317  -17.1168
000327    182.60000  -16.70769    0.05     288.9599   45.0478   189.1563  -14.2695
000328    189.80000  -16.70769    0.04     298.7069   46.0636   195.6232  -11.4737
000329    197.00000  -16.70769    0.08     308.6433   45.9803   202.0654   -8.7647
000330    204.20000  -16.70769    0.08     318.3252   44.8040   208.5123   -6.1765
000331    211.40000  -16.70769    0.08     327.3786   42.6162   214.9888   -3.7423
000332    218.60000  -16.70769    0.12     335.5785   39.5492   221.5150   -1.4943
000333    225.80000  -16.70769    0.09     342.8546   35.7527   228.1054    0.5366
000334    233.00000  -16.70769    0.12     349.2473   31.3693   234.7685    2.3212
000335    240.20000  -16.70769    0.21     354.8556   26.5220   241.5064    3.8325
000336    247.40000  -16.70769    0.44     359.7981   21.3103   248.3150    5.0464
000337    254.60000  -16.70769    0.28       4.1918   15.8130   255.1838    5.9430
000338    261.80000  -16.70769    0.24       8.1426   10.0911   262.0972    6.5069
000339    269.00000  -16.70769    0.65      11.7430    4.1920   269.0356    6.7283
000340    276.20000  -16.70769    1.30      15.0733   -1.8474   275.9771    6.6031
000341    283.40000  -16.70769    0.24      18.2049   -7.9976   282.8995    6.1336
000342    290.60000  -16.70769    0.13      21.2030  -14.2350   289.7825    5.3281
000343    297.80000  -16.70769    0.18      24.1316  -20.5397   296.6091    4.2004
000344    305.00000  -16.70769    0.09      27.0583  -26.8945   303.3673    2.7695
000345    312.20000  -16.70769    0.06      30.0615  -33.2829   310.0513    1.0583
000346    319.40000  -16.70769    0.09      33.2421  -39.6884   316.6613   -0.9071
